i, in, out_r, out_c, mag
0, 1, -3.87132e-05, 0, 3.87132e-05
1, 1.82347, -2.65031e-05, -5.62007e-05, 6.21364e-05
2, 1.18996, -1.94391e-05, -2.83155e-05, 3.4346e-05
3, -0.416086, 3.53444e-05, -2.88744e-05, 4.56394e-05
4, -1.36347, 1.45943e-05, -1.60745e-05, 2.17114e-05
5, -0.919741, 7.43364e-07, -6.62806e-06, 6.66961e-06
6, -0.0988641, 5.51691e-05, -1.24762e-05, 5.65622e-05
7, -0.215989, -1.05605e-05, 1.9281e-05, 2.19836e-05
8, -1.08979, 2.07508e-05, 2.25115e-05, 3.06164e-05
9, -1.28908, 1.3437e-05, 1.02301e-05, 1.68881e-05
10, -0.0951947, 5.34857e-05, 3.00118e-06, 5.35698e-05
11, 1.4376, -6.9885e-05, 8.53039e-05, 0.000110275
12, 1.75535, -4.33082e-05, -0.000152235, 0.000158276
13, 0.752204, 8.80878e-05, -3.772e-05, 9.58241e-05
14, -0.163715, 3.44573e-05, 9.18855e-05, 9.81338e-05
15, 0.0438424, -6.17852e-05, -1.03691e-05, 6.26492e-05
16, 0.707107, 8.52615e-05, -1.70673e-05, 8.6953e-05
17, 0.432593, 1.09622e-05, 6.40744e-05, 6.50053e-05
18, -0.929487, 6.04531e-05, -1.24914e-05, 6.17301e-05
19, -1.96522, -3.83452e-05, 0.000105861, 0.000112592
20, -1.47945, 128, -2.84449e-05, 128
21, -0.0386953, 1.45275e-05, -4.59369e-05, 4.81794e-05
22, 0.761851, 4.29868e-06, 2.61755e-05, 2.65261e-05
23, 0.339352, -3.57121e-05, -1.989e-05, 4.08775e-05
24, -0.216773, 3.00271e-05, 6.76549e-06, 3.07799e-05
25, 0.285382, -7.37656e-06, -5.18205e-05, 5.23429e-05
26, 1.45218, -4.48326e-07, 0.000117625, 0.000117625
27, 1.76219, -4.17704e-05, -6.84066e-05, 8.01512e-05
28, 0.577776, 3.53525e-05, -3.34282e-05, 4.86543e-05
29, -0.955745, 2.03454e-05, 8.21473e-05, 8.46293e-05
30, -1.32858, -6.80185e-05, -6.79474e-05, 9.61425e-05
31, -0.54503, 2.62771e-05, -1.7819e-05, 3.1749e-05
32, 0, 2.01629e-05, -4.6483e-05, 5.06677e-05
33, -0.545032, 5.95558e-05, 7.14422e-05, 9.30101e-05
34, -1.32858, -7.5192e-05, -6.68812e-05, 0.000100633
35, -0.955747, 9.05085e-05, -5.23224e-05, 0.000104544
36, 0.577774, 8.13155e-05, 2.26632e-05, 8.44146e-05
37, 1.76219, -4.15261e-06, 4.70928e-05, 4.72755e-05
38, 1.45218, -1.72833e-05, 5.54193e-05, 5.80518e-05
39, 0.285383, -3.16289e-05, -3.20295e-06, 3.17907e-05
40, -0.216774, -1.55696e-07, -4.79419e-05, 4.79422e-05
41, 0.33935, -1.48946e-05, -4.33828e-05, 4.58685e-05
42, 0.76185, 7.73642e-05, 8.33236e-06, 7.78117e-05
43, -0.0386953, 3.04283e-05, -2.39601e-06, 3.05225e-05
44, -1.47945, 2.52752e-06, 4.17549e-06, 4.88089e-06
45, -1.96522, 5.0112e-05, -2.6954e-05, 5.69011e-05
46, -0.929487, 3.17347e-05, 4.87633e-05, 5.81803e-05
47, 0.432595, 1.47675e-05, 1.4147e-05, 2.04504e-05
48, 0.707107, 3.14423e-05, -5.18302e-06, 3.18666e-05
49, 0.0438423, 6.8699e-05, 1.81317e-05, 7.10515e-05
50, -0.163714, -2.53165e-05, -128, 128
51, 0.752203, 2.98219e-05, 2.12916e-05, 3.66426e-05
52, 1.75535, 8.74111e-06, 5.87309e-05, 5.93779e-05
53, 1.4376, -1.72474e-05, 4.18151e-05, 4.52325e-05
54, -0.0951906, 3.72254e-05, -5.38545e-05, 6.54678e-05
55, -1.28908, -7.27871e-06, 3.44875e-05, 3.52473e-05
56, -1.08979, 0.000102027, 7.62651e-05, 0.000127381
57, -0.21599, -8.54658e-05, 0.000158044, 0.000179673
58, -0.0988619, -2.6115e-05, -1.59333e-05, 3.05919e-05
59, -0.919739, -4.5576e-05, -3.45174e-05, 5.71719e-05
60, -1.36347, -1.00141e-05, 6.24311e-05, 6.32292e-05
61, -0.416088, -6.82298e-05, 8.94343e-06, 6.88135e-05
62, 1.18997, 2.85238e-05, -5.99682e-05, 6.64062e-05
63, 1.82347, 3.43763e-06, 2.07747e-05, 2.10572e-05
64, 0.999999, -2.60323e-05, 2.13236e-05, 3.36508e-05
65, -0.0596214, 0.000104173, 1.41754e-05, 0.000105133
66, -0.0788227, -7.99321e-05, 9.7947e-05, 0.000126423
67, 0.612122, 4.15368e-05, -3.06098e-05, 5.15971e-05
68, 0.598102, -5.91951e-05, 9.75262e-05, 0.000114085
69, -0.626284, -6.17324e-05, 6.40691e-05, 8.89704e-05
70, -1.86271, -0.000128469, -4.09834e-06, 0.000128535
71, -1.69789, -4.40014e-06, -0.00011815, 0.000118232
72, -0.324424, -4.32259e-06, -3.42275e-05, 3.44993e-05
73, 0.70851, 3.61466e-05, -2.68276e-05, 4.50144e-05
74, 0.485377, 2.49715e-05, 5.27395e-06, 2.55224e-05
75, -0.168817, -1.45184e-05, 5.13864e-05, 5.3398e-05
76, 0.0924124, -4.78781e-05, -5.49652e-06, 4.81926e-05
77, 1.23817, 1.52699e-05, -8.98674e-06, 1.77181e-05
